chr,start,end,width,strand,mean.meth.diff,num.CpGs,num.DMCs,DMR.pvalue,DMR.qvalue
chr1,839353,839593,241,*,40.42917716,9,8,5.91E-11,1.70E-10
chr1,845245,845279,35,*,73.44838419,6,6,1.31E-13,5.21E-13
chr1,845374,845431,58,*,56.50882549,7,7,6.20E-17,3.93E-16
chr1,845735,845811,77,*,40.04374555,5,5,1.49E-15,7.80E-15
chr1,960487,960616,130,*,58.25808701,5,5,1.90E-19,1.85E-18
chr1,1000189,1000207,19,*,29.10107725,5,3,0.000501704,0.000588091
chr1,1005188,1005307,120,*,36.96106369,11,6,4.74E-09,1.06E-08
chr1,1072027,1072096,70,*,30.0641607,5,4,2.41E-05,3.36E-05
chr1,1072467,1072889,423,*,31.2319571,38,26,6.43E-07,1.10E-06
chr1,1098536,1098596,61,*,65.19445728,5,5,5.64E-19,5.05E-18
chr1,1099386,1099463,78,*,71.22877346,7,7,2.33E-22,8.54E-21
chr1,1100004,1100062,59,*,64.89501806,8,8,1.30E-21,2.21E-20
chr1,1141557,1141675,119,*,25.15758966,8,4,7.28E-07,1.24E-06
chr1,1141798,1141850,53,*,21.30636152,9,3,4.90E-05,6.57E-05
chr1,1173011,1173206,196,*,42.88972191,11,9,5.64E-06,8.51E-06
chr1,1175177,1175465,289,*,26.11014116,14,7,0.000521453,0.000609546
chr1,1244807,1245003,197,*,22.86097652,11,6,1.07E-07,2.03E-07
chr1,1273323,1273376,54,*,57.95891663,6,6,4.85E-11,1.41E-10
chr1,1355739,1355771,33,*,51.53846154,5,5,6.28E-14,2.60E-13
chr1,1355883,1355959,77,*,44.06906492,7,7,3.46E-09,7.91E-09
chr1,1363758,1363821,64,*,36.82701724,6,4,2.31E-11,6.98E-11
chr1,1529809,1529880,72,*,27.72646895,5,3,0.000855392,0.000976383
chr1,1713999,1714084,86,*,37.64390178,8,8,9.48E-18,6.87E-17
chr1,1841242,1841315,74,*,61.17169502,5,5,1.91E-17,1.31E-16
chr1,1850215,1850264,50,*,37.68926085,5,4,2.95E-10,7.74E-10
chr1,1859771,1859912,142,*,25.78777839,6,3,0.000152487,0.000191529
chr1,1983032,1983107,76,*,52.24350182,8,5,2.76E-07,4.95E-07
chr1,2399794,2399848,55,*,26.60821681,6,4,2.20E-08,4.55E-08
chr1,2535295,2535492,198,*,22.22310886,11,6,6.80E-05,8.93E-05
chr1,2559916,2559940,25,*,31.98236726,5,3,0.00037519,0.000447364
chr1,2815994,2816062,69,*,40.53102104,5,4,1.97E-10,5.27E-10
chr1,2820535,2820722,188,*,25.05672413,10,4,4.14E-06,6.35E-06
chr1,2833585,2833657,73,*,31.81967399,6,5,0.000364743,0.000435418
chr1,3003288,3003323,36,*,25.9400289,5,3,4.36E-06,6.68E-06
chr1,3052846,3052898,53,*,45.60266435,7,7,8.84E-16,4.78E-15
chr1,3059728,3059832,105,*,29.63828523,9,5,1.32E-05,1.91E-05
chr1,3121588,3121844,257,*,20.17362086,11,5,0.000145149,0.000182877
chr1,3157835,3157905,71,*,39.63483273,6,5,1.03E-10,2.85E-10
chr1,3186707,3186920,214,*,53.13158048,5,5,1.14E-07,2.15E-07
chr1,3193072,3193119,48,*,45.04383427,11,11,7.03E-08,1.37E-07
chr1,3195702,3195763,62,*,29.00901331,7,3,0.000321667,0.00038709
chr1,3195975,3196098,124,*,29.74401573,7,3,0.000854243,0.000975276
chr1,3266125,3266216,92,*,22.05411652,7,6,2.92E-05,4.03E-05
chr1,3301444,3301577,134,*,36.91550809,6,6,8.98E-08,1.72E-07
chr1,3310563,3310599,37,*,33.95909833,8,7,2.44E-08,5.02E-08
chr1,3321854,3321920,67,*,27.97423371,5,3,9.71E-07,1.62E-06
chr1,3335829,3335903,75,*,28.72366164,5,3,5.87E-06,8.84E-06
chr1,3774573,3774603,31,*,28.20220161,7,6,8.56E-10,2.10E-09
chr1,4015010,4015082,73,*,30.14856616,5,3,2.82E-13,1.08E-12
chr1,4121585,4121647,63,*,46.50362752,6,6,7.58E-13,2.75E-12
chr1,4181964,4182171,208,*,29.29001642,7,5,8.65E-10,2.12E-09
chr1,4565485,4565542,58,*,61.09533464,8,8,2.08E-11,6.30E-11
chr1,4675289,4675325,37,*,28.32931566,6,3,1.23E-05,1.78E-05
chr1,4688334,4688497,164,*,41.22979938,7,6,2.14E-16,1.26E-15
chr1,4771895,4771993,99,*,48.68483248,8,7,2.65E-08,5.43E-08
chr1,4772112,4772244,133,*,56.31343638,11,8,8.04E-05,0.000104821
chr1,5335383,5335622,240,*,30.35946052,6,4,9.73E-08,1.86E-07
chr1,5515007,5515092,86,*,57.79283232,5,5,5.34E-17,3.42E-16
chr1,5586206,5586282,77,*,51.81565705,5,5,1.78E-15,9.15E-15
chr1,5772266,5772345,80,*,69.89418749,6,6,1.15E-17,8.20E-17
chr1,5779235,5779312,78,*,35.01635997,5,4,5.55E-07,9.60E-07
chr1,5815020,5815055,36,*,54.3225963,5,5,3.78E-20,4.21E-19
chr1,6095459,6095514,56,*,61.80288964,5,5,2.78E-11,8.32E-11
chr1,6101720,6101772,53,*,40.09725295,5,4,6.50E-05,8.57E-05
chr1,6240538,6240659,122,*,24.70773785,18,8,0.000113887,0.000145596
