	target.row	dist.to.feature	feature.name	feature.strand
1358	1	15637	NR_026874	-
1358.1	2	15497	NR_026874	-
1358.2	3	15495	NR_026874	-
1358.3	4	12930	NR_026874	-
1358.4	5	12868	NR_026874	-
1358.5	6	12863	NR_026874	-
1358.6	7	9642	NR_026874	-
1358.7	8	9336	NR_026874	-
1358.8	9	9321	NR_026874	-
1358.9	10	9315	NR_026874	-
1358.1	11	9280	NR_026874	-
1358.11	12	9262	NR_026874	-
1365	13	3699	NM_152486	+
1365.1	14	3760	NM_152486	+
1365.2	15	4424	NM_152486	+
1365.3	16	4448	NM_152486	+
1365.4	17	6750	NM_152486	+
1365.5	18	6771	NM_152486	+
1365.6	19	9453	NM_152486	+
1365.7	20	9464	NM_152486	+
1365.8	21	9479	NM_152486	+
1365.9	22	9500	NM_152486	+
1365.1	23	9509	NM_152486	+
1365.11	24	9518	NM_152486	+
1365.12	25	9690	NM_152486	+
1365.13	26	9702	NM_152486	+
1365.14	27	11249	NM_152486	+
1365.15	28	11266	NM_152486	+
1365.16	29	11392	NM_152486	+
1359	30	15297	NM_015658	-
1359.1	31	15258	NM_015658	-
1359.2	32	15236	NM_015658	-
1359.3	33	15228	NM_015658	-
1359.4	34	15227	NM_015658	-
1359.5	35	15170	NM_015658	-
1359.6	36	15139	NM_015658	-
1359.7	37	13035	NM_015658	-
1359.8	38	-449	NM_015658	-
1359.9	39	-457	NM_015658	-
1359.1	40	-462	NM_015658	-
1359.11	41	-471	NM_015658	-
1359.12	42	-478	NM_015658	-
1359.13	43	-511	NM_015658	-
1363	44	150	NM_032129	+
1363.1	45	1667	NM_032129	+
1363.2	46	4596	NM_032129	+
1363.3	47	4618	NM_032129	+
1363.4	48	4621	NM_032129	+
1363.5	49	4630	NM_032129	+
1363.6	50	5188	NM_032129	+
1363.7	51	7493	NM_032129	+
1363.8	52	7506	NM_032129	+
1360	53	6716	NM_001291367	-
1360.1	54	6675	NM_001291367	-
1360.2	55	6641	NM_001291367	-
1360.3	56	2980	NM_001291367	-
1360.4	57	2972	NM_001291367	-
1360.5	58	2799	NM_001291367	-
1360.6	59	2792	NM_001291367	-
1360.7	60	1440	NM_001291367	-
1360.8	61	1434	NM_001291367	-
1360.9	62	1427	NM_001291367	-
1360.1	63	1411	NM_001291367	-
1360.11	64	1410	NM_001291367	-
1360.12	65	1407	NM_001291367	-
1360.13	66	1402	NM_001291367	-
1360.14	67	1382	NM_001291367	-
1366	68	-2413	NM_001291366	-
1366.1	69	-2420	NM_001291366	-
1368	70	3247	NM_021170	-
1368.1	71	3239	NM_021170	-
1368.2	72	3216	NM_021170	-
1368.3	73	3175	NM_021170	-
1368.4	74	1898	NM_021170	-
1368.5	75	1871	NM_021170	-
1368.6	76	1870	NM_021170	-
1368.7	77	1868	NM_021170	-
1368.8	78	1867	NM_021170	-
1368.9	79	1861	NM_021170	-
1368.1	80	1855	NM_021170	-
1368.11	81	1852	NM_021170	-
1368.12	82	1841	NM_021170	-
1368.13	83	1840	NM_021170	-
1368.14	84	1834	NM_021170	-
1368.15	85	1815	NM_021170	-
1368.16	86	1809	NM_021170	-
1368.17	87	1808	NM_021170	-
1368.18	88	1807	NM_021170	-
1368.19	89	1804	NM_021170	-
1371	90	4861	NM_198576	+
1371.1	91	4987	NM_198576	+
1371.2	92	5049	NM_198576	+
1371.3	93	5050	NM_198576	+
1371.4	94	5114	NM_198576	+
1371.5	95	12831	NM_198576	+
1371.6	96	12842	NM_198576	+
1371.7	97	12859	NM_198576	+
1371.8	98	12865	NM_198576	+
1371.9	99	12866	NM_198576	+
