chr,start,end,width,strand,mean.meth.diff,num.CpGs,num.DMCs,DMR.pvalue,DMR.qvalue
chr1,839353,839593,241,*,40.42917716,9,8,5.91E-11,1.70E-10
chr1,845245,845279,35,*,73.44838419,6,6,1.31E-13,5.21E-13
chr1,845374,845431,58,*,56.50882549,7,7,6.20E-17,3.93E-16
chr1,845735,845811,77,*,40.04374555,5,5,1.49E-15,7.80E-15
chr1,870571,870638,68,*,-31.03455281,6,4,0.000455781,0.000536696
chr1,874636,874698,63,*,-40.74635207,7,7,3.02E-10,7.91E-10
chr1,879381,879541,161,*,-28.19090258,5,3,1.26E-05,1.82E-05
chr1,933653,933755,103,*,-45.31552316,20,15,4.15E-05,5.61E-05
chr1,960487,960616,130,*,58.25808701,5,5,1.90E-19,1.85E-18
chr1,968331,968440,110,*,-66.85334069,14,14,1.76E-08,3.67E-08
chr1,969183,969307,125,*,-45.39597985,14,13,2.46E-06,3.90E-06
chr1,975464,975581,118,*,-36.77654958,15,13,3.69E-05,5.02E-05
chr1,997826,997902,77,*,-40.22865577,5,3,5.53E-05,7.36E-05
chr1,1000189,1000207,19,*,29.10107725,5,3,0.000501704,0.000588091
chr1,1005188,1005307,120,*,36.96106369,11,6,4.74E-09,1.06E-08
chr1,1007421,1007623,203,*,-40.74508431,21,16,3.93E-06,6.05E-06
chr1,1072027,1072096,70,*,30.0641607,5,4,2.41E-05,3.36E-05
chr1,1072467,1072889,423,*,31.2319571,38,26,6.43E-07,1.10E-06
chr1,1076319,1076397,79,*,-33.43342298,6,5,8.96E-09,1.94E-08
chr1,1098536,1098596,61,*,65.19445728,5,5,5.64E-19,5.05E-18
chr1,1099386,1099463,78,*,71.22877346,7,7,2.33E-22,8.54E-21
chr1,1100004,1100062,59,*,64.89501806,8,8,1.30E-21,2.21E-20
chr1,1103181,1103266,86,*,-29.65989132,5,3,4.51E-08,8.99E-08
chr1,1104524,1104738,215,*,-45.61627249,7,6,5.21E-07,9.05E-07
chr1,1115913,1116033,121,*,-33.92964667,7,4,3.86E-06,5.96E-06
chr1,1118397,1118446,50,*,-32.98179022,10,9,1.50E-05,2.15E-05
chr1,1136419,1136458,40,*,-48.13950947,6,5,8.17E-11,2.30E-10
chr1,1141557,1141675,119,*,25.15758966,8,4,7.28E-07,1.24E-06
chr1,1141798,1141850,53,*,21.30636152,9,3,4.90E-05,6.57E-05
chr1,1173011,1173206,196,*,42.88972191,11,9,5.64E-06,8.51E-06
chr1,1175177,1175465,289,*,26.11014116,14,7,0.000521453,0.000609546
chr1,1181830,1181879,50,*,-35.36406918,6,4,0.00050593,0.000592703
chr1,1227451,1227509,59,*,-27.65833366,7,3,3.41E-05,4.66E-05
chr1,1244807,1245003,197,*,22.86097652,11,6,1.07E-07,2.03E-07
chr1,1273323,1273376,54,*,57.95891663,6,6,4.85E-11,1.41E-10
chr1,1280869,1280937,69,*,-25.01159956,6,4,4.14E-06,6.36E-06
chr1,1289946,1290100,155,*,-34.76466631,15,14,5.33E-07,9.24E-07
chr1,1355739,1355771,33,*,51.53846154,5,5,6.28E-14,2.60E-13
chr1,1355883,1355959,77,*,44.06906492,7,7,3.46E-09,7.91E-09
chr1,1363758,1363821,64,*,36.82701724,6,4,2.31E-11,6.98E-11
chr1,1476169,1476284,116,*,-32.30114113,12,10,1.47E-06,2.40E-06
chr1,1529809,1529880,72,*,27.72646895,5,3,0.000855392,0.000976383
chr1,1535476,1535788,313,*,-67.94310339,36,32,7.73E-09,1.69E-08
chr1,1566128,1566198,71,*,-37.1146742,9,7,9.16E-05,0.000118606
chr1,1566624,1566641,18,*,-36.01604278,5,4,0.000106039,0.000136141
chr1,1567603,1567782,180,*,-52.29630842,18,18,5.49E-09,1.22E-08
chr1,1713999,1714084,86,*,37.64390178,8,8,9.48E-18,6.87E-17
chr1,1841242,1841315,74,*,61.17169502,5,5,1.91E-17,1.31E-16
chr1,1850215,1850264,50,*,37.68926085,5,4,2.95E-10,7.74E-10
chr1,1859771,1859912,142,*,25.78777839,6,3,0.000152487,0.000191529
chr1,1874486,1874541,56,*,-46.76932286,7,7,8.36E-14,3.42E-13
chr1,1874720,1874873,154,*,-23.93381374,15,9,1.42E-05,2.04E-05
chr1,1935189,1935536,348,*,-70.20477479,32,24,9.45E-06,1.39E-05
chr1,1953036,1953110,75,*,-29.86414272,8,5,3.26E-10,8.50E-10
chr1,1983032,1983107,76,*,52.24350182,8,5,2.76E-07,4.95E-07
chr1,2039315,2039440,126,*,-30.66407723,6,4,3.39E-05,4.63E-05
chr1,2232499,2232617,119,*,-27.56771325,12,6,1.84E-05,2.61E-05
chr1,2399794,2399848,55,*,26.60821681,6,4,2.20E-08,4.55E-08
chr1,2424242,2424308,67,*,-23.95279816,5,4,1.84E-08,3.83E-08
chr1,2461641,2461791,151,*,-80.20789571,40,26,0.000727864,0.000837808
chr1,2472094,2472128,35,*,-34.52420278,5,5,1.63E-08,3.42E-08
chr1,2535295,2535492,198,*,22.22310886,11,6,6.80E-05,8.93E-05
chr1,2537417,2537598,182,*,-23.99353555,8,5,0.000194326,0.000240628
chr1,2542595,2542655,61,*,-48.12961244,6,5,9.34E-08,1.79E-07
chr1,2559916,2559940,25,*,31.98236726,5,3,0.00037519,0.000447364
