chr,start,end,width,strand,mean.meth.diff,num.CpGs,num.DMCs,DMR.pvalue,DMR.qvalue
chr1,870571,870638,68,*,-31.03455281,6,4,0.000455781,0.000536696
chr1,874636,874698,63,*,-40.74635207,7,7,3.02E-10,7.91E-10
chr1,879381,879541,161,*,-28.19090258,5,3,1.26E-05,1.82E-05
chr1,933653,933755,103,*,-45.31552316,20,15,4.15E-05,5.61E-05
chr1,968331,968440,110,*,-66.85334069,14,14,1.76E-08,3.67E-08
chr1,969183,969307,125,*,-45.39597985,14,13,2.46E-06,3.90E-06
chr1,975464,975581,118,*,-36.77654958,15,13,3.69E-05,5.02E-05
chr1,997826,997902,77,*,-40.22865577,5,3,5.53E-05,7.36E-05
chr1,1007421,1007623,203,*,-40.74508431,21,16,3.93E-06,6.05E-06
chr1,1076319,1076397,79,*,-33.43342298,6,5,8.96E-09,1.94E-08
chr1,1103181,1103266,86,*,-29.65989132,5,3,4.51E-08,8.99E-08
chr1,1104524,1104738,215,*,-45.61627249,7,6,5.21E-07,9.05E-07
chr1,1115913,1116033,121,*,-33.92964667,7,4,3.86E-06,5.96E-06
chr1,1118397,1118446,50,*,-32.98179022,10,9,1.50E-05,2.15E-05
chr1,1136419,1136458,40,*,-48.13950947,6,5,8.17E-11,2.30E-10
chr1,1181830,1181879,50,*,-35.36406918,6,4,0.00050593,0.000592703
chr1,1227451,1227509,59,*,-27.65833366,7,3,3.41E-05,4.66E-05
chr1,1280869,1280937,69,*,-25.01159956,6,4,4.14E-06,6.36E-06
chr1,1289946,1290100,155,*,-34.76466631,15,14,5.33E-07,9.24E-07
chr1,1476169,1476284,116,*,-32.30114113,12,10,1.47E-06,2.40E-06
chr1,1535476,1535788,313,*,-67.94310339,36,32,7.73E-09,1.69E-08
chr1,1566128,1566198,71,*,-37.1146742,9,7,9.16E-05,0.000118606
chr1,1566624,1566641,18,*,-36.01604278,5,4,0.000106039,0.000136141
chr1,1567603,1567782,180,*,-52.29630842,18,18,5.49E-09,1.22E-08
chr1,1874486,1874541,56,*,-46.76932286,7,7,8.36E-14,3.42E-13
chr1,1874720,1874873,154,*,-23.93381374,15,9,1.42E-05,2.04E-05
chr1,1935189,1935536,348,*,-70.20477479,32,24,9.45E-06,1.39E-05
chr1,1953036,1953110,75,*,-29.86414272,8,5,3.26E-10,8.50E-10
chr1,2039315,2039440,126,*,-30.66407723,6,4,3.39E-05,4.63E-05
chr1,2232499,2232617,119,*,-27.56771325,12,6,1.84E-05,2.61E-05
chr1,2424242,2424308,67,*,-23.95279816,5,4,1.84E-08,3.83E-08
chr1,2461641,2461791,151,*,-80.20789571,40,26,0.000727864,0.000837808
chr1,2472094,2472128,35,*,-34.52420278,5,5,1.63E-08,3.42E-08
chr1,2537417,2537598,182,*,-23.99353555,8,5,0.000194326,0.000240628
chr1,2542595,2542655,61,*,-48.12961244,6,5,9.34E-08,1.79E-07
chr1,2706522,2706638,117,*,-34.49229676,23,17,0.00032558,0.000391596
chr1,2716645,2716763,119,*,-36.12552378,7,6,0.000115043,0.000146982
chr1,2724049,2724192,144,*,-24.70593227,6,4,1.79E-05,2.54E-05
chr1,2724371,2724416,46,*,-39.176252,9,9,4.65E-09,1.04E-08
chr1,2980092,2980271,180,*,-20.77227257,13,10,0.000300416,0.000363127
chr1,2987129,2987186,58,*,-64.78709323,14,14,3.65E-17,2.40E-16
chr1,2987275,2987522,248,*,-62.04382164,21,15,8.90E-08,1.71E-07
chr1,2987652,2987868,217,*,-59.95094408,10,6,2.30E-07,4.16E-07
chr1,3385653,3385784,132,*,-24.58806768,12,4,2.47E-05,3.44E-05
chr1,3420726,3420805,80,*,-52.76575902,5,4,0.000481952,0.00056612
chr1,3567545,3567694,150,*,-54.88574732,14,9,0.000153407,0.000192596
chr1,3568329,3568435,107,*,-50.76436314,9,7,3.87E-13,1.45E-12
chr1,3588112,3588161,50,*,-35.79284014,6,6,2.71E-09,6.26E-09
chr1,3631174,3631345,172,*,-49.91503601,5,4,0.0002622,0.000319496
chr1,3639830,3639970,141,*,-44.66074687,5,5,1.91E-09,4.49E-09
chr1,3643991,3644061,71,*,-63.64420216,5,4,9.51E-09,2.05E-08
chr1,3663610,3663682,73,*,-48.82797775,7,7,2.25E-20,2.69E-19
chr1,4713988,4714077,90,*,-30.76327062,13,10,2.00E-05,2.82E-05
chr1,4714545,4714595,51,*,-49.81477021,8,6,0.000772733,0.000887635
chr1,4714854,4715193,340,*,-48.72926412,52,49,2.28E-05,3.19E-05
chr1,4715668,4715711,44,*,-50.12549524,9,7,2.34E-13,9.00E-13
chr1,6309206,6309252,47,*,-53.0455744,6,6,4.78E-07,8.33E-07
chr1,6309347,6309391,45,*,-63.59794484,9,9,2.22E-11,6.72E-11
chr1,6309551,6309671,121,*,-62.30491856,25,25,3.49E-13,1.31E-12
chr1,6309932,6309977,46,*,-60.45896505,7,7,7.46E-06,1.11E-05
chr1,6480481,6480565,85,*,-50.76228992,8,8,5.15E-15,2.50E-14
chr1,6480888,6480938,51,*,-52.65963017,12,12,9.80E-09,2.11E-08
chr1,6507282,6507405,124,*,-77.03061821,23,22,2.42E-10,6.40E-10
chr1,6520691,6520861,171,*,-29.97158827,7,6,6.73E-07,1.15E-06
chr1,6531586,6531666,81,*,-37.47097531,15,15,2.49E-06,3.95E-06
chr1,7764072,7764241,170,*,-66.26223853,27,24,2.28E-06,3.64E-06
chr1,8014258,8014330,73,*,-51.26162365,12,10,1.04E-07,1.98E-07
chr1,8277625,8277765,141,*,-23.53213142,14,5,1.46E-06,2.39E-06
chr1,9099279,9099352,74,*,-25.58313559,8,3,7.98E-06,1.18E-05
chr1,9258796,9258979,184,*,-50.03979114,27,22,0.000324594,0.000390497
chr1,9712403,9712569,167,*,-45.47414795,13,10,3.28E-07,5.83E-07
chr1,10711664,10711707,44,*,-33.77744615,6,5,0.000290204,0.000351488
chr1,10769430,10769571,142,*,-24.2916214,8,3,3.42E-05,4.67E-05
chr1,10895429,10895552,124,*,-44.79380534,8,5,0.000271163,0.000329849
chr1,10948530,10948594,65,*,-46.18265377,6,6,6.49E-08,1.27E-07
chr1,10948700,10948846,147,*,-51.17146384,17,15,6.47E-06,9.70E-06
chr1,10965052,10965107,56,*,-24.49632904,5,4,0.000146828,0.000184835
chr1,11752234,11752365,132,*,-30.03676045,7,5,1.13E-05,1.64E-05
chr1,12227511,12227639,129,*,-44.34074101,10,6,1.10E-07,2.08E-07
chr1,12600346,12600409,64,*,-37.21377292,6,5,0.000246584,0.000301438
chr1,13840057,13840340,284,*,-34.72330645,25,17,0.000775549,0.000890743
chr1,13840474,13840545,72,*,-41.32881928,6,5,1.00E-09,2.43E-09
chr1,13909630,13909788,159,*,-20.73140259,9,4,0.000101929,0.000131228
chr1,13910665,13910787,123,*,-58.9163383,11,10,3.55E-06,5.51E-06
chr1,15421300,15421453,154,*,-32.74201897,9,8,2.75E-06,4.33E-06
chr1,16489072,16489124,53,*,-47.96709918,6,6,4.80E-07,8.37E-07
chr1,17019227,17019324,98,*,-35.31192874,11,9,7.34E-08,1.42E-07
chr1,17027872,17027911,40,*,-39.6008641,8,8,1.46E-13,5.78E-13
chr1,17287528,17287595,68,*,-71.14736112,10,6,0.000510979,0.00059793
chr1,17929629,17929718,90,*,-41.94057229,5,4,1.42E-07,2.64E-07
chr1,17930006,17930086,81,*,-28.32716015,6,5,3.10E-07,5.53E-07
chr1,18434269,18434310,42,*,-54.03712801,12,12,3.17E-10,8.27E-10
chr1,18809611,18809737,127,*,-24.90208484,10,3,3.01E-05,4.15E-05
chr1,18957489,18957567,79,*,-57.22262308,6,5,1.17E-14,5.39E-14
chr1,18957755,18957807,53,*,-78.85560111,6,6,1.09E-11,3.41E-11
chr1,18958142,18958384,243,*,-55.57948125,17,14,4.02E-10,1.03E-09
chr1,18959272,18959330,59,*,-45.00050556,9,8,1.09E-08,2.33E-08
chr1,18960911,18960991,81,*,-53.6728766,6,5,1.64E-06,2.66E-06
chr1,18963129,18963187,59,*,-68.00955175,7,7,2.23E-07,4.05E-07
chr1,18970496,18970570,75,*,-40.30292527,6,4,3.05E-06,4.77E-06
chr1,18973000,18973081,82,*,-53.90073463,6,6,6.91E-09,1.51E-08
chr1,19043694,19043828,135,*,-51.56820781,18,15,6.50E-05,8.57E-05
chr1,19276085,19276173,89,*,-42.07916015,5,5,2.87E-19,2.72E-18
chr1,19970282,19970379,98,*,-26.13218424,11,7,6.17E-05,8.16E-05
chr1,19991371,19991415,45,*,-40.91087419,15,11,2.88E-11,8.59E-11
chr1,19991589,19991834,246,*,-57.90529082,14,10,1.26E-08,2.69E-08
chr1,19992945,19992986,42,*,-23.16286444,5,3,8.16E-06,1.21E-05
chr1,20669925,20669976,52,*,-39.70572824,6,5,0.000116243,0.000148364
chr1,20693215,20693290,76,*,-47.78957779,7,6,3.32E-09,7.59E-09
chr1,20878919,20878997,79,*,-71.98134309,7,7,6.76E-12,2.18E-11
chr1,20879219,20879406,188,*,-59.38071504,23,20,3.63E-11,1.07E-10
chr1,20879538,20879642,105,*,-65.93578783,17,14,4.85E-10,1.23E-09
chr1,21058258,21058314,57,*,-77.488252,13,13,8.52E-08,1.64E-07
chr1,21058523,21058640,118,*,-76.00459251,28,21,0.000436273,0.000515252
chr1,21059048,21059121,74,*,-79.15200502,7,7,2.35E-17,1.59E-16
chr1,21059359,21059498,140,*,-87.31398672,6,6,1.30E-22,6.07E-21
chr1,21966270,21966379,110,*,-38.20528913,8,5,0.000105336,0.000135314
chr1,22140982,22141087,106,*,-47.07267957,12,8,0.000788346,0.000904293
chr1,22890375,22890524,150,*,-27.67702587,9,5,4.57E-08,9.10E-08
chr1,22920085,22920170,86,*,-45.46715828,7,7,4.35E-08,8.68E-08
chr1,22965424,22965453,30,*,-48.73685876,5,5,1.86E-17,1.28E-16
chr1,23066325,23066380,56,*,-51.32768455,5,5,1.39E-06,2.27E-06
chr1,23279934,23279998,65,*,-35.02449484,10,9,8.91E-07,1.50E-06
chr1,23280179,23280249,71,*,-46.79402397,6,5,4.28E-05,5.77E-05
chr1,25255954,25256033,80,*,-71.27983792,10,10,6.04E-16,3.34E-15
chr1,25256225,25256638,414,*,-73.52838562,45,41,0.000389382,0.000463167
chr1,25258477,25258509,33,*,-40.0606469,7,7,1.85E-06,2.99E-06
chr1,26098053,26098095,43,*,-44.51886,6,6,5.28E-07,9.17E-07
chr1,26098308,26098393,86,*,-29.86061986,7,4,4.83E-05,6.47E-05
chr1,26372042,26372114,73,*,-42.20061943,6,4,4.26E-06,6.54E-06
chr1,26372394,26372514,121,*,-69.60101563,26,26,1.28E-14,5.85E-14
chr1,26551768,26551923,156,*,-45.73342472,14,14,1.69E-11,5.17E-11
chr1,26606584,26606835,252,*,-20.97947019,19,8,1.05E-05,1.53E-05
chr1,27677838,27677890,53,*,-30.99324002,6,6,7.33E-08,1.42E-07
chr1,27687138,27687211,74,*,-33.45769508,10,10,6.47E-09,1.42E-08
chr1,29460816,29460934,119,*,-30.60184789,12,10,0.000562675,0.000656017
chr1,31158106,31158166,61,*,-35.46380682,7,4,6.02E-06,9.06E-06
chr1,31380882,31380936,55,*,-42.61618865,7,6,1.56E-10,4.24E-10
chr1,31845933,31845992,60,*,-45.91584188,6,5,9.15E-06,1.35E-05
chr1,32054458,32054658,201,*,-40.90265402,14,13,1.40E-09,3.34E-09
chr1,32083656,32083773,118,*,-24.70171598,7,4,4.32E-08,8.63E-08
chr1,32180226,32180271,46,*,-62.55222124,7,7,8.88E-12,2.82E-11
chr1,32226150,32226297,148,*,-53.13382873,9,4,0.000538443,0.000628802
chr1,32226682,32226758,77,*,-25.17489028,5,3,1.58E-16,9.49E-16
chr1,32238472,32238517,46,*,-53.86314359,6,6,2.77E-10,7.28E-10
chr1,32410290,32410428,139,*,-75.59824492,21,21,7.52E-17,4.71E-16
chr1,32827361,32827553,193,*,-52.81951194,33,23,1.98E-05,2.80E-05
chr1,32827849,32828017,169,*,-36.70095263,15,14,7.55E-09,1.65E-08
chr1,33772381,33772446,66,*,-23.20005867,13,5,0.000569923,0.000664182
chr1,35351242,35351294,53,*,-54.85658213,8,7,8.60E-06,1.27E-05
chr1,35351560,35351709,150,*,-53.73428493,10,10,7.31E-18,5.38E-17
chr1,36772402,36772534,133,*,-92.65367512,21,21,9.71E-18,7.02E-17
chr1,36788743,36788986,244,*,-88.52894418,20,20,4.83E-18,3.68E-17
chr1,36789126,36789220,95,*,-89.29037966,11,9,6.02E-09,1.33E-08
chr1,37325477,37325558,82,*,-53.76404787,5,5,8.44E-22,1.56E-20
chr1,37337766,37337848,83,*,-35.98212588,5,3,0.000472476,0.00055551
chr1,38219701,38219751,51,*,-60.41762768,10,9,9.52E-05,0.000122971
chr1,38510672,38510816,145,*,-58.61887498,11,11,5.24E-16,2.92E-15
chr1,39957347,39957485,139,*,-42.834616,17,11,0.000312988,0.000377287
chr1,39957605,39957711,107,*,-60.47549955,9,8,3.10E-08,6.31E-08
chr1,39957798,39957829,32,*,-34.68688671,5,5,1.44E-08,3.05E-08
chr1,40105375,40105440,66,*,-41.83742411,7,5,2.84E-05,3.92E-05
chr1,40942804,40943023,220,*,-72.35095534,24,22,4.31E-16,2.44E-15
chr1,41831863,41831922,60,*,-46.14219739,5,4,1.39E-12,4.88E-12
chr1,41832030,41832097,68,*,-53.2368105,7,6,2.00E-05,2.82E-05
chr1,41847295,41847351,57,*,-41.59351966,9,9,1.16E-11,3.63E-11
chr1,41847906,41848030,125,*,-73.89548637,22,22,3.05E-09,7.01E-09
chr1,41848369,41848436,68,*,-65.686518,7,7,2.30E-16,1.35E-15
chr1,44031304,44031436,133,*,-57.90928378,9,9,1.51E-10,4.12E-10
chr1,44031583,44031674,92,*,-24.43796524,5,5,2.24E-07,4.07E-07
chr1,44873389,44873450,62,*,-58.51549921,5,4,0.000519265,0.000607189
chr1,44883344,44883460,117,*,-57.27988857,19,17,6.20E-06,9.31E-06
chr1,45249859,45250182,324,*,-51.32129457,40,39,2.11E-06,3.38E-06
chr1,45792593,45792679,87,*,-53.71216086,7,7,1.66E-15,8.58E-15
chr1,46956938,46957025,88,*,-42.67091047,6,6,1.25E-17,8.84E-17
chr1,46986297,46986373,77,*,-34.9493531,5,3,8.24E-08,1.59E-07
chr1,47009885,47009979,95,*,-25.02098702,14,8,0.000301048,0.00036381
chr1,47697927,47698018,92,*,-62.79574686,10,8,7.27E-05,9.52E-05
chr1,47881932,47881957,26,*,-38.14492754,5,4,0.0007844,0.000900147
chr1,47882608,47882644,37,*,-59.82142857,8,8,6.40E-08,1.25E-07
chr1,47909716,47909792,77,*,-34.08383372,9,7,6.61E-09,1.45E-08
chr1,47910558,47910627,70,*,-66.87841906,5,5,1.01E-22,6.07E-21
chr1,47999196,47999269,74,*,-70.3319438,5,4,6.03E-07,1.04E-06
chr1,47999405,47999517,113,*,-48.97982736,14,14,1.86E-13,7.26E-13
chr1,48058917,48058953,37,*,-53.81181319,7,7,2.20E-14,9.73E-14
chr1,48462152,48462241,90,*,-53.54407245,12,12,1.03E-10,2.87E-10
chr1,50798906,50798981,76,*,-39.92304362,6,5,1.68E-07,3.11E-07
chr1,50799350,50799445,96,*,-48.10060494,16,15,1.42E-08,3.01E-08
chr1,50888978,50889042,65,*,-35.52565646,9,8,4.30E-05,5.81E-05
chr1,52498536,52498834,299,*,-27.51200245,12,3,0.000515664,0.000603109
