NA,target.row,dist.to.feature,feature.name,feature.strand
1358,1,15637,NR_026874,-
1358.1,2,15497,NR_026874,-
1358.2,3,15495,NR_026874,-
1358.3,4,12930,NR_026874,-
1358.4,5,12868,NR_026874,-
1358.5,6,12863,NR_026874,-
1358.6,7,9642,NR_026874,-
1358.7,8,9336,NR_026874,-
1358.8,9,9321,NR_026874,-
1358.9,10,9315,NR_026874,-
1358.1,11,9280,NR_026874,-
1358.11,12,9262,NR_026874,-
1365,13,3699,NM_152486,+
1365.1,14,3760,NM_152486,+
1365.2,15,4424,NM_152486,+
1365.3,16,4448,NM_152486,+
1365.4,17,6750,NM_152486,+
1365.5,18,6771,NM_152486,+
1365.6,19,9453,NM_152486,+
1365.7,20,9464,NM_152486,+
1365.8,21,9479,NM_152486,+
1365.9,22,9500,NM_152486,+
1365.1,23,9509,NM_152486,+
1365.11,24,9518,NM_152486,+
1365.12,25,9690,NM_152486,+
1365.13,26,9702,NM_152486,+
1365.14,27,11249,NM_152486,+
1365.15,28,11266,NM_152486,+
1365.16,29,11392,NM_152486,+
1359,30,15297,NM_015658,-
1359.1,31,15258,NM_015658,-
1359.2,32,15236,NM_015658,-
1359.3,33,15228,NM_015658,-
1359.4,34,15227,NM_015658,-
1359.5,35,15170,NM_015658,-
1359.6,36,15139,NM_015658,-
1359.7,37,13035,NM_015658,-
1359.8,38,-449,NM_015658,-
1359.9,39,-457,NM_015658,-
1359.1,40,-462,NM_015658,-
1359.11,41,-471,NM_015658,-
1359.12,42,-478,NM_015658,-
1359.13,43,-511,NM_015658,-
1363,44,150,NM_032129,+
1363.1,45,1667,NM_032129,+
1363.2,46,4596,NM_032129,+
1363.3,47,4618,NM_032129,+
1363.4,48,4621,NM_032129,+
1363.5,49,4630,NM_032129,+
1363.6,50,5188,NM_032129,+
1363.7,51,7493,NM_032129,+
1363.8,52,7506,NM_032129,+
1360,53,6716,NM_001291367,-
1360.1,54,6675,NM_001291367,-
1360.2,55,6641,NM_001291367,-
1360.3,56,2980,NM_001291367,-
1360.4,57,2972,NM_001291367,-
1360.5,58,2799,NM_001291367,-
1360.6,59,2792,NM_001291367,-
1360.7,60,1440,NM_001291367,-
1360.8,61,1434,NM_001291367,-
1360.9,62,1427,NM_001291367,-
1360.1,63,1411,NM_001291367,-
1360.11,64,1410,NM_001291367,-
1360.12,65,1407,NM_001291367,-
1360.13,66,1402,NM_001291367,-
1360.14,67,1382,NM_001291367,-
1366,68,-2413,NM_001291366,-
1366.1,69,-2420,NM_001291366,-
1368,70,3247,NM_021170,-
1368.1,71,3239,NM_021170,-
1368.2,72,3216,NM_021170,-
1368.3,73,3175,NM_021170,-
1368.4,74,1898,NM_021170,-
1368.5,75,1871,NM_021170,-
1368.6,76,1870,NM_021170,-
1368.7,77,1868,NM_021170,-
1368.8,78,1867,NM_021170,-
1368.9,79,1861,NM_021170,-
1368.1,80,1855,NM_021170,-
1368.11,81,1852,NM_021170,-
1368.12,82,1841,NM_021170,-
1368.13,83,1840,NM_021170,-
1368.14,84,1834,NM_021170,-
1368.15,85,1815,NM_021170,-
1368.16,86,1809,NM_021170,-
1368.17,87,1808,NM_021170,-
1368.18,88,1807,NM_021170,-
1368.19,89,1804,NM_021170,-
1371,90,4861,NM_198576,+
1371.1,91,4987,NM_198576,+
1371.2,92,5049,NM_198576,+
1371.3,93,5050,NM_198576,+
1371.4,94,5114,NM_198576,+
1371.5,95,12831,NM_198576,+
1371.6,96,12842,NM_198576,+
1371.7,97,12859,NM_198576,+
1371.8,98,12865,NM_198576,+
1371.9,99,12866,NM_198576,+
1371.1,100,12872,NM_198576,+
1371.11,101,12884,NM_198576,+
1371.12,102,12886,NM_198576,+
1371.13,103,12887,NM_198576,+
1371.14,104,12893,NM_198576,+
1371.15,105,12895,NM_198576,+
1371.16,106,12933,NM_198576,+
1371.17,107,12938,NM_198576,+
1371.18,108,13336,NM_198576,+
1371.19,109,13359,NM_198576,+
1371.2,110,13683,NM_198576,+
1371.21,111,13711,NM_198576,+
1371.22,112,13735,NM_198576,+
1371.23,113,13738,NM_198576,+
1371.24,114,13752,NM_198576,+
1371.25,115,13755,NM_198576,+
1371.26,116,13763,NM_198576,+
1371.27,117,13767,NM_198576,+
1371.28,118,13774,NM_198576,+
1371.29,119,13778,NM_198576,+
1371.3,120,13796,NM_198576,+
1371.31,121,13798,NM_198576,+
1371.32,122,13802,NM_198576,+
1371.33,123,13805,NM_198576,+
1371.34,124,19964,NM_198576,+
1371.35,125,19995,NM_198576,+
1371.36,126,19996,NM_198576,+
1371.37,127,19997,NM_198576,+
1371.38,128,19998,NM_198576,+
1371.39,129,20011,NM_198576,+
1371.4,130,20015,NM_198576,+
1371.41,131,20016,NM_198576,+
1371.42,132,20019,NM_198576,+
1371.43,133,20026,NM_198576,+
1371.44,134,20049,NM_198576,+
1371.45,135,20050,NM_198576,+
1371.46,136,20061,NM_198576,+
1371.47,137,20063,NM_198576,+
1371.48,138,20079,NM_198576,+
1371.49,139,20353,NM_198576,+
1371.5,140,20354,NM_198576,+
1371.51,141,20357,NM_198576,+
1371.52,142,20358,NM_198576,+
1371.53,143,20548,NM_198576,+
1371.54,144,20562,NM_198576,+
1371.55,145,20568,NM_198576,+
1371.56,146,20569,NM_198576,+
1371.57,147,20571,NM_198576,+
1371.58,148,20572,NM_198576,+
1371.59,149,20574,NM_198576,+
1371.6,150,20580,NM_198576,+
1371.61,151,20581,NM_198576,+
1371.62,152,20592,NM_198576,+
1370,153,23453,NM_001205252,-
1370.1,154,23441,NM_001205252,-
1370.2,155,23417,NM_001205252,-
1370.3,156,23413,NM_001205252,-
1370.4,157,23404,NM_001205252,-
1370.5,158,23395,NM_001205252,-
1370.6,159,19511,NM_001205252,-
1370.7,160,17712,NM_001205252,-
1370.8,161,13590,NM_001205252,-
1370.9,162,13564,NM_001205252,-
1370.1,163,11786,NM_001205252,-
1370.11,164,11119,NM_001205252,-
1370.12,165,11112,NM_001205252,-
1370.13,166,4473,NM_001205252,-
1370.14,167,4433,NM_001205252,-
1370.15,168,4425,NM_001205252,-
1370.16,169,2888,NM_001205252,-
1370.17,170,2881,NM_001205252,-
1370.18,171,2261,NM_001205252,-
1370.19,172,2257,NM_001205252,-
1370.2,173,2212,NM_001205252,-
1370.21,174,2207,NM_001205252,-
1370.22,175,2206,NM_001205252,-
1370.23,176,2199,NM_001205252,-
1370.24,177,2132,NM_001205252,-
1370.25,178,2129,NM_001205252,-
1370.26,179,2121,NM_001205252,-
1370.27,180,2118,NM_001205252,-
1370.28,181,2096,NM_001205252,-
1370.29,182,2082,NM_001205252,-
1370.3,183,2080,NM_001205252,-
1370.31,184,1403,NM_001205252,-
1370.32,185,-10338,NM_001205252,-
25,186,-6823,NM_017891,-
25.1,187,-6849,NM_017891,-
25.2,188,-6899,NM_017891,-
1382,189,-322,NR_038869,+
1382.1,190,82,NR_038869,+
1382.2,191,89,NR_038869,+
1382.3,192,90,NR_038869,+
1382.4,193,98,NR_038869,+
1382.5,194,99,NR_038869,+
1382.6,195,100,NR_038869,+
1382.7,196,101,NR_038869,+
1382.8,197,113,NR_038869,+
1382.9,198,175,NR_038869,+
1382.1,199,185,NR_038869,+
1382.11,200,204,NR_038869,+
1382.12,201,262,NR_038869,+
1382.13,202,3938,NR_038869,+
1382.14,203,3940,NR_038869,+
1382.15,204,3988,NR_038869,+
1382.16,205,4001,NR_038869,+
1382.17,206,7143,NR_038869,+
1382.18,207,7162,NR_038869,+
1382.19,208,7163,NR_038869,+
1382.2,209,7165,NR_038869,+
1382.21,210,7166,NR_038869,+
1382.22,211,7688,NR_038869,+
1382.23,212,7698,NR_038869,+
1382.24,213,7713,NR_038869,+
1382.25,214,7739,NR_038869,+
1382.26,215,13395,NR_038869,+
1382.27,216,14416,NR_038869,+
1373,217,-9235,NR_029639,+
1373.1,218,-9230,NR_029639,+
1373.2,219,-9224,NR_029639,+
1373.3,220,-5454,NR_029639,+
1373.4,221,-3946,NR_029639,+
1373.5,222,-3926,NR_029639,+
1373.6,223,-3910,NR_029639,+
1373.7,224,-3905,NR_029639,+
1373.8,225,-3888,NR_029639,+
1373.9,226,-3083,NR_029639,+
1373.1,227,-3075,NR_029639,+
1373.11,228,-3052,NR_029639,+
1373.12,229,-3050,NR_029639,+
1373.13,230,-3034,NR_029639,+
1373.14,231,-3021,NR_029639,+
1373.15,232,-2478,NR_029639,+
1373.16,233,-2461,NR_029639,+
1373.17,234,-2459,NR_029639,+
1373.18,235,-2451,NR_029639,+
1373.19,236,-2449,NR_029639,+
1373.2,237,-2422,NR_029639,+
1373.21,238,-1478,NR_029639,+
1373.22,239,-1436,NR_029639,+
1373.23,240,-1240,NR_029639,+
1373.24,241,-1182,NR_029639,+
1373.25,242,-1181,NR_029639,+
1373.26,243,-1167,NR_029639,+
1373.27,244,-1141,NR_029639,+
1373.28,245,-1107,NR_029639,+
1373.29,246,-95,NR_029639,+
1373.3,247,351,NR_029639,+
1374,248,-7,NR_029834,+
1374.1,249,3,NR_029834,+
1374.2,250,343,NR_029834,+
1374.3,251,355,NR_029834,+
1375,252,211,NR_029957,+
1375.1,253,240,NR_029957,+
1375.2,254,241,NR_029957,+
1375.3,255,261,NR_029957,+
1375.4,256,291,NR_029957,+
1375.5,257,311,NR_029957,+
1376,258,-1974,NM_001130045,+
1376.1,259,-1955,NM_001130045,+
1376.2,260,-1950,NM_001130045,+
1376.3,261,-273,NM_001130045,+
1376.4,262,-93,NM_001130045,+
1376.5,263,1963,NM_001130045,+
1377,264,-113,NM_153254,+
1377.1,265,879,NM_153254,+
1377.2,266,3323,NM_153254,+
1377.3,267,3336,NM_153254,+
1377.4,268,3337,NM_153254,+
1377.5,269,3338,NM_153254,+
1377.6,270,3339,NM_153254,+
1377.7,271,3355,NM_153254,+
1377.8,272,3356,NM_153254,+
1377.9,273,5806,NM_153254,+
1377.1,274,5807,NM_153254,+
1377.11,275,5817,NM_153254,+
1380,276,8985,NM_004195,-
1380.1,277,8965,NM_004195,-
1380.2,278,5660,NM_004195,-
1380.3,279,5659,NM_004195,-
1380.4,280,5646,NM_004195,-
1380.5,281,2335,NM_004195,-
1380.6,282,501,NM_004195,-
1380.7,283,500,NM_004195,-
1380.8,284,473,NM_004195,-
1380.9,285,472,NM_004195,-
1380.1,286,462,NM_004195,-
1380.11,287,453,NM_004195,-
1380.12,288,415,NM_004195,-
1380.13,289,290,NM_004195,-
1380.14,290,281,NM_004195,-
1380.15,291,279,NM_004195,-
1380.16,292,277,NM_004195,-
1380.17,293,273,NM_004195,-
1380.18,294,267,NM_004195,-
1380.19,295,266,NM_004195,-
1380.2,296,250,NM_004195,-
1384,297,-2512,NM_148901,-
1384.1,298,-2537,NM_148901,-
1384.2,299,-2539,NM_148901,-
1384.3,300,-2544,NM_148901,-
1372,301,1136,NM_003327,-
1372.1,302,1090,NM_003327,-
1372.2,303,-6672,NM_003327,-
1378,304,6617,NM_080605,+
259,305,6860,NM_001014980,-
259.1,306,6040,NM_001014980,-
259.2,307,2342,NM_001014980,-
259.3,308,2322,NM_001014980,-
259.4,309,2317,NM_001014980,-
259.5,310,271,NM_001014980,-
259.6,311,240,NM_001014980,-
259.7,312,238,NM_001014980,-
259.8,313,228,NM_001014980,-
259.9,314,224,NM_001014980,-
259.1,315,219,NM_001014980,-
259.11,316,-294,NM_001014980,-
259.12,317,-298,NM_001014980,-
259.13,318,-303,NM_001014980,-
259.14,319,-306,NM_001014980,-
259.15,320,-316,NM_001014980,-
259.16,321,-323,NM_001014980,-
259.17,322,-327,NM_001014980,-
259.18,323,-328,NM_001014980,-
259.19,324,-4614,NM_001014980,-
1390,325,1242,NR_037668,+
1410,326,4425,NR_106784,-
1410.1,327,4416,NR_106784,-
1410.2,328,4069,NR_106784,-
1410.3,329,4068,NR_106784,-
1410.4,330,4064,NR_106784,-
1410.5,331,4063,NR_106784,-
1410.6,332,4042,NR_106784,-
1410.7,333,2099,NR_106784,-
1410.8,334,2090,NR_106784,-
1410.9,335,2079,NR_106784,-
1410.1,336,2064,NR_106784,-
1410.11,337,2059,NR_106784,-
1410.12,338,2046,NR_106784,-
1395,339,869,NM_153339,+
1395.1,340,878,NM_153339,+
1395.2,341,882,NM_153339,+
1395.3,342,887,NM_153339,+
1395.4,343,895,NM_153339,+
1395.5,344,900,NM_153339,+
1387,345,2023,NM_152228,+
1388,346,-4654,NR_106866,-
1388.1,347,-4680,NR_106866,-
1388.2,348,-4681,NR_106866,-
1385,349,4698,NM_004421,-
1385.1,350,3622,NM_004421,-
1385.2,351,3613,NM_004421,-
